Results summary:

Program contral parameterFlag=3 ; cosmoFlag=3     Calculated on: 29-May-2014

No	Cation	Anion	Solute	T	Vcal	
428	EMMIM	TFA	DCM	  298.15	0.5020	
429	EMMIM	TFO	DCM	  298.15	0.5580	
430	EMMIM	Cl	DCM	  298.15	0.1687	
431	EMMIM	SCN	DCM	  298.15	0.5041	
432	EMMIM	DCA	DCM	  298.15	0.5150	
433	EMMIM	MeSO3	DCM	  298.15	0.2501	
434	EMMIM	HSO4	DCM	  298.15	0.4495	
435	EMMIM	BCN4	DCM	  298.15	0.5715	
436	EMMIM	BETI	DCM	  298.15	0.4146	
437	EMMIM	Tosylate	DCM	  298.15	0.3294	
438	EMMIM	FAP	DCM	  298.15	0.4453	
439	EMMIM	C8SO4	DCM	  298.15	0.3631	
440	EMMIM	MeSO4	DCM	  298.15	0.3631	
441	EMMIM	MePO3	DCM	  298.15	0.2598	
442	Epy	NTF2	DCM	  298.15	1.1122	
443	Epy	BF4	DCM	  298.15	1.1122	
444	Epy	PF6	DCM	  298.15	0.5673	
445	Epy	NFO	DCM	  298.15	0.5673	
446	Epy	ClO4	DCM	  298.15	1.0985	
447	Epy	AC	DCM	  298.15	0.3778	
448	Epy	NO3	DCM	  298.15	0.6050	
449	Epy	TFA	DCM	  298.15	0.8096	
450	Epy	TFO	DCM	  298.15	0.8561	
451	Epy	Cl	DCM	  298.15	0.2291	
452	Epy	SCN	DCM	  298.15	0.8508	
453	Epy	DCA	DCM	  298.15	0.8531	
454	Epy	MeSO3	DCM	  298.15	0.3700	
455	Epy	HSO4	DCM	  298.15	0.7211	
456	Epy	BCN4	DCM	  298.15	0.8169	
457	Epy	BETI	DCM	  298.15	0.4898	
458	Epy	Tosylate	DCM	  298.15	0.4735	
459	Epy	FAP	DCM	  298.15	0.4763	
460	Epy	C8SO4	DCM	  298.15	0.5575	
461	Epy	MeSO4	DCM	  298.15	0.5575	
462	Epy	MePO3	DCM	  298.15	0.4023	
463	C4SO3MIM	NTF2	DCM	  298.15	1.2834	
464	C4SO3MIM	BF4	DCM	  298.15	1.2834	
465	C4SO3MIM	PF6	DCM	  298.15	0.5912	
466	C4SO3MIM	NFO	DCM	  298.15	0.5912	
467	C4SO3MIM	ClO4	DCM	  298.15	1.2487	
468	C4SO3MIM	AC	DCM	  298.15	0.5367	
469	C4SO3MIM	NO3	DCM	  298.15	0.8410	
470	C4SO3MIM	TFA	DCM	  298.15	0.9234	
471	C4SO3MIM	TFO	DCM	  298.15	0.9315	
472	C4SO3MIM	Cl	DCM	  298.15	0.4574	
473	C4SO3MIM	SCN	DCM	  298.15	1.0704	
474	C4SO3MIM	DCA	DCM	  298.15	1.0010	
475	C4SO3MIM	MeSO3	DCM	  298.15	0.5248	
476	C4SO3MIM	HSO4	DCM	  298.15	0.9302	
477	C4SO3MIM	BCN4	DCM	  298.15	0.8694	
478	C4SO3MIM	BETI	DCM	  298.15	0.4938	
479	C4SO3MIM	Tosylate	DCM	  298.15	0.5472	
480	C4SO3MIM	FAP	DCM	  298.15	0.4562	
481	C4SO3MIM	C8SO4	DCM	  298.15	0.7039	
482	C4SO3MIM	MeSO4	DCM	  298.15	0.7039	
483	C4SO3MIM	MePO3	DCM	  298.15	0.5316	
484	EOMIM	NTF2	DCM	  298.15	1.5284	
485	EOMIM	BF4	DCM	  298.15	1.5284	
486	EOMIM	PF6	DCM	  298.15	0.6465	
487	EOMIM	NFO	DCM	  298.15	0.6465	
488	EOMIM	ClO4	DCM	  298.15	1.5026	
489	EOMIM	AC	DCM	  298.15	0.4786	
490	EOMIM	NO3	DCM	  298.15	0.7867	
491	EOMIM	TFA	DCM	  298.15	1.0531	
492	EOMIM	TFO	DCM	  298.15	1.0879	
493	EOMIM	Cl	DCM	  298.15	0.3054	
494	EOMIM	SCN	DCM	  298.15	1.1635	
495	EOMIM	DCA	DCM	  298.15	1.1311	
496	EOMIM	MeSO3	DCM	  298.15	0.4598	
497	EOMIM	HSO4	DCM	  298.15	0.9199	
498	EOMIM	BCN4	DCM	  298.15	1.0050	
499	EOMIM	BETI	DCM	  298.15	0.5309	
500	EOMIM	Tosylate	DCM	  298.15	0.5702	
501	EOMIM	FAP	DCM	  298.15	0.4843	
502	EOMIM	C8SO4	DCM	  298.15	0.7040	
